"","species","species_long","sumpropbloom_years","Leaf_area_mm2","Leaf_area_cm2","height_m","diaspore_mass_mg"
"1","achmil","Achillea_millefolium",1676,627.23,6.2723,0.313157943,0.1428
"2","agafoe","Agastache_foeniculum",32,NA,0,1.21,0.2627
"3","amocan","Amorpha_canescens",0,419.95,4.1995,0.652660253,1.9072
"4","aqucan","Aquilegia_canadensis",1,NA,0,0.9,0.5
"5","ascinc","Asclepias_incarnata",0,1575.35,15.7535,1.048394575,2.3466
"6","ascsyr","Asclepias_syriaca",0,6376.17,63.7617,0.916433603,5.5249
"7","asctub","Asclepias_tuberosa",0,713.38,7.1338,0.531013267,6.6079
"8","chafas","Chamaecrista_fasciculata",159,10.58,0.1058,0.526687763,7.6683
"9","corlan","Coreopsis_lanceolata",288,NA,NA,0.6,1.4201
"10","dalcan","Dalea_candida",20,58.05,0.5805,0.470241486,1.6384
"11","dalpur","Dalea_purpurea",2,18.69,0.1869,0.535978022,1.8154
"12","eupper","Eupatorium_perfoliatum",0,14737.39,147.3739,0.967425728,0.0921
"13","eutgra","Euthamia_graminifolia",0,403.89,4.0389,0.746883555,0.0657
"14","gaiari","Gaillardia_aristata",369,NA,NA,0.6,8.5401
"15","helaut","Helenium_autumnale",3,462.84,4.6284,0.747952169,0.3111
"16","helgig","Helianthus_giganteus",32,NA,NA,2,3.22
"17","helhel","Heliopsis_helianthoides",801,NA,NA,1.52,1.9887
"18","helmax","Helianthus_maximiliani",34,2243.66,22.4366,1.315934842,4.5667
"19","lialig","Liatris_ligulistylis",22,NA,NA,0.6096,1.61
"20","lobsip","Lobelia_siphilitica",0,NA,NA,1,0.0288
"21","lupper","Lupinus_perennis",78,230.63,2.3063,0.300262169,22.0805
"22","monfis","Monarda_fistulosa",86,847.75,8.4775,0.926046012,0.35
"23","pacpla","Packera_plattensis",0,NA,NA,0.4,0.35
"24","pendig","Penstemon_digitalis",129,NA,NA,1.21,1.13
"25","pengra","Penstemon_grandiflorus",98,NA,NA,1.21,1.7866
"26","ratpin","Ratibida_pinnata",468,583.54,5.8354,0.903379936,0.6096
"27","rudhir","Rudbeckia_hirta",1068,465.99,4.6599,0.519804113,0.3831
"28","scrlan","Scrophularia_lanceolata",60,2618,26.18,0.82825117,0.1237
"29","solrig","Solidago_rigida",0,3185.69,31.8569,1.160868362,0.4925
"30","solspe","Solidago_speciosa",80,NA,NA,1.21,0.2449
"31","symlae","Symphyotrichum_laeve",132,1127.75,11.2775,0.927238397,0.37
"32","symlan","Symphyotrichum_lanceolatum",74,520.35,5.2035,1.333900591,0.45
"33","symnov","Symphyotrichum_novae-angliae",3,571.38,5.7138,0.884534733,0.5407
"34","symool","Symphyotrichum_oolentangiense",135,921.64,9.2164,0.75,0.17
"35","traocc","Tradescantia_occidentalis",128,731.23,7.3123,0.34,3.1
"36","verhas","Verbena_hastata",0,1473.42,14.7342,0.914520558,0.225
"37","vervir","Veronicastrum_virginicum",0,915.7,9.157,0.6847936,0.0529
"38","zizapt","Zizia_aptera",21,7059.99,70.5999,0.69,1.7523
"39","zizaur","Zizia_aurea",40,5472.12,54.7212,0.722170604,2.2215
